ENDDATE,INDICATORCODE,DATAVALUE,
2020-03-18 00:00:00,1010020079,130.13,
2020-03-18 00:00:00,1380041303,852.0,
2020-03-18 00:00:00,1010020089,238.81,
2020-03-18 00:00:00,1010020088,152.03,
2020-03-18 00:00:00,1010020082,161.46,
2020-03-18 00:00:00,1010020093,169.14,
2020-03-18 00:00:00,1010020092,125.37,
2020-03-18 00:00:00,1085340045,22.79,
2020-03-18 00:00:00,1085340178,1493.0,
2020-03-18 00:00:00,1080010002,30.1,
2020-03-18 00:00:00,1320260098,538.0,
2020-03-18 00:00:00,1310200013,1282.0,
2020-03-18 00:00:00,1330010092,12620.0,
2020-03-18 00:00:00,1380045540,760.0,
2020-03-18 00:00:00,1380044328,835.0,
2020-03-18 00:00:00,1010020068,103.32,
2020-03-17 00:00:00,1010020079,129.48,
2020-03-17 00:00:00,1380041303,858.0,
2020-03-17 00:00:00,1010020089,239.08,
2020-03-17 00:00:00,1010020088,152.47,
2020-03-17 00:00:00,1010020082,162.1,
2020-03-17 00:00:00,1010020093,169.13,
2020-03-17 00:00:00,1010020092,125.88,
2020-03-17 00:00:00,1085340045,27.97,
2020-03-17 00:00:00,1085340178,1530.0,
2020-03-17 00:00:00,1080010002,30.05,
2020-03-17 00:00:00,1320260098,537.4,
2020-03-17 00:00:00,1310200013,1286.5,
2020-03-17 00:00:00,1330010092,12700.0,
2020-03-17 00:00:00,1380045540,765.0,
2020-03-17 00:00:00,1380044328,835.0,
2020-03-17 00:00:00,1010020068,103.13,
2020-03-16 00:00:00,1010020079,129.48,
2020-03-16 00:00:00,1380041303,862.0,
2020-03-16 00:00:00,1010020089,238.98,
2020-03-16 00:00:00,1010020088,152.51,
2020-03-16 00:00:00,1010020082,165.09,
2020-03-16 00:00:00,1010020093,169.13,
2020-03-16 00:00:00,1020870011,7934.0,
2020-03-16 00:00:00,1010020092,125.97,
2020-03-16 00:00:00,1085340045,28.04,
2020-03-16 00:00:00,1085340178,1538.0,
2020-03-16 00:00:00,1080010002,33.85,
2020-03-16 00:00:00,1320260098,539.6,
2020-03-16 00:00:00,1310200013,1279.0,
2020-03-16 00:00:00,1330020574,165.6,
2020-03-16 00:00:00,1330010092,12840.0,
2020-03-16 00:00:00,1380045540,765.0,
2020-03-16 00:00:00,1380044328,850.0,
2020-03-16 00:00:00,1010020068,103.3,
2020-03-13 00:00:00,1010020079,129.15,
2020-03-13 00:00:00,1380041303,858.0,
2020-03-13 00:00:00,1010020089,238.98,
2020-03-13 00:00:00,1010020088,152.52,
2020-03-13 00:00:00,1010020082,165.36,
2020-03-13 00:00:00,1010020093,169.13,
2020-03-13 00:00:00,1010570001,11911.13,
2020-03-13 00:00:00,1010020092,125.97,
2020-03-13 00:00:00,1085340045,33.0,
2020-03-13 00:00:00,1085340178,1540.0,
2020-03-13 00:00:00,1085340038,1088704.0,
2020-03-13 00:00:00,1080010002,35.44,
