regionname,indicatornameen,infopubldate,enddate,indicatorcode,datavalue ,,
俄罗斯联邦,Gross domestic product, constant prices:%,2021-04-06 00:00:00,2019-12-31 00:00:00,500901001,2.198,
俄罗斯联邦,Gross domestic product, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901002,109608.3,
俄罗斯联邦,Gross domestic product, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901003,1695.72,
俄罗斯联邦,Gross domestic product, deflator,2021-04-06 00:00:00,2019-12-31 00:00:00,500901004,119.664,
俄罗斯联邦,Gross domestic product per capita, constant prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901005,624172.57,
俄罗斯联邦,Gross domestic product per capita, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901007,11555.27,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901008,4181.62,,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2021-04-06 00:00:00,2019-12-31 00:00:00,500901010,3.083,,
俄罗斯联邦,Volume of exports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,500901021,-1.5,,
俄罗斯联邦,General government total expenditure:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901027,39.25,,
俄罗斯联邦,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901006,734689.51,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901009,28181.24,,
俄罗斯联邦,Gross national savings:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901013,25.777,,
俄罗斯联邦,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901017,4.912,
俄罗斯联邦,Gross domestic product, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901000,89156.8,
中国,Gross domestic product, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201000,91457.91,
中国,Gross domestic product, constant prices:%,2022-10-11 00:00:00,2020-12-31 00:00:00,501201001,2.244,
中国,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201003,14862.56,
中国,Gross domestic product, deflator,2022-10-11 00:00:00,2020-12-31 00:00:00,501201004,112.142,
中国,Gross domestic product per capita, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201005,64766.38,
中国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201007,10525.0,
中国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201008,24168.03,,
中国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2022-10-11 00:00:00,2020-12-31 00:00:00,501201010,18.18,,
中国,Implied PPP conversion rate,2022-10-11 00:00:00,2020-12-31 00:00:00,501201011,4.244,,
中国,Total investment:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201012,42.857,,
中国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201014,111.447,
中国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201015,2.392,
中国,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201016,111.046,
中国,Volume of imports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,501201018,-0.406,,
中国,Volume of Imports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,501201019,0.002,,
中国,Volume of exports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,501201020,2.61,,
中国,Volume of exports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,501201021,4.781,,
中国,Unemployment rate,2022-10-11 00:00:00,2020-12-31 00:00:00,501201022,4.24,,
