enddate,infopubldate,companycode,secucode,totalshares,
2016-12-31 00:00:00,2017-03-31 00:00:00,157839,002629,411948000,
2016-12-31 00:00:00,2017-04-28 00:00:00,1692,600759,2263507518,
2016-12-31 00:00:00,2017-04-20 00:00:00,267,000629,8589746202,
2016-09-30 00:00:00,2016-10-01 00:00:00,1188,600188,4912016000,
2016-06-30 00:00:00,2016-08-20 00:00:00,281,000655,595340230,
2016-06-30 00:00:00,2016-08-17 00:00:00,82565,601011,1367500000,
2016-06-30 00:00:00,2016-08-02 00:00:00,267,000629,8589746202,
2016-06-30 00:00:00,2016-08-27 00:00:00,1850,600997,1234640000,
2016-06-30 00:00:00,2016-08-27 00:00:00,1692,600759,2263507518,
2016-06-30 00:00:00,2016-08-29 00:00:00,1188,600188,4918400000,
2016-06-30 00:00:00,2016-08-25 00:00:00,2148,601857,183020977818,
2016-06-30 00:00:00,2016-08-31 00:00:00,170452,601969,1866670000,
2016-06-30 00:00:00,2016-08-25 00:00:00,23394,601898,13258663400,
2016-06-30 00:00:00,2016-08-16 00:00:00,157839,002629,411948000,
2016-04-06 00:00:00,2016-04-06 00:00:00,157839,002629,411948000,
2016-02-15 00:00:00,2016-02-03 00:00:00,82565,601011,1367500000,
2015-12-31 00:00:00,2016-03-29 00:00:00,170452,601969,1866670000,
2015-12-31 00:00:00,2016-03-31 00:00:00,1850,600997,1234640000,
2015-12-31 00:00:00,2016-03-24 00:00:00,2148,601857,183020977818,
2015-12-31 00:00:00,2016-03-29 00:00:00,82565,601011,1367500000,
2015-12-31 00:00:00,2016-03-30 00:00:00,1188,600188,4918400000,
2015-12-31 00:00:00,2016-04-23 00:00:00,281,000655,595340230,
2015-12-31 00:00:00,2016-04-29 00:00:00,267,000629,8589746202,
2015-12-31 00:00:00,2016-03-29 00:00:00,157839,002629,411948000,
2015-12-31 00:00:00,2016-03-23 00:00:00,23394,601898,13258663400,
2015-12-31 00:00:00,2016-04-22 00:00:00,1692,600759,2263507518,
2015-12-14 00:00:00,2015-12-09 00:00:00,170452,601969,1866670000,
2015-09-28 00:00:00,2015-09-22 00:00:00,82565,601011,1367500000,
2015-07-06 00:00:00,2015-06-30 00:00:00,1692,600759,2263507518,
2015-06-30 00:00:00,2015-08-22 00:00:00,281,000655,595340230,
2015-06-30 00:00:00,2015-08-18 00:00:00,82565,601011,547000000,
2015-06-30 00:00:00,2015-08-28 00:00:00,267,000629,8589746202,
2015-06-30 00:00:00,2015-08-22 00:00:00,1850,600997,1234640000,
2015-06-30 00:00:00,2015-08-28 00:00:00,1692,600759,1741159629,
2015-06-30 00:00:00,2015-08-31 00:00:00,1188,600188,4918400000,
2015-06-30 00:00:00,2015-08-28 00:00:00,2148,601857,183020977818,
2015-06-30 00:00:00,2015-08-25 00:00:00,170452,601969,1866670000,
2015-06-30 00:00:00,2015-08-22 00:00:00,23394,601898,13258663400,
2015-06-30 00:00:00,2015-08-25 00:00:00,157839,002629,411948000,
2015-06-04 00:00:00,2015-05-28 00:00:00,157839,002629,411948000,
2015-02-06 00:00:00,2015-02-10 00:00:00,82565,601011,547000000,
2014-12-31 00:00:00,2015-04-21 00:00:00,157839,002629,274632000,
2014-12-31 00:00:00,2015-03-31 00:00:00,82565,601011,387000000,
2014-12-31 00:00:00,2015-03-21 00:00:00,23394,601898,13258663400,
2014-12-31 00:00:00,2015-04-18 00:00:00,1692,600759,1741159629,
2014-12-31 00:00:00,2015-03-10 00:00:00,170452,601969,1866670000,
2014-12-31 00:00:00,2015-04-25 00:00:00,281,000655,595340230,
2014-12-31 00:00:00,2015-03-27 00:00:00,2148,601857,183020977818,
2014-12-31 00:00:00,2015-03-28 00:00:00,1850,600997,1234640000,
2014-12-31 00:00:00,2015-03-30 00:00:00,1188,600188,4918400000,
2014-12-31 00:00:00,2015-04-29 00:00:00,267,000629,8589746202,
2014-12-19 00:00:00,2014-12-23 00:00:00,1692,600759,1741159629,
2014-12-09 00:00:00,2014-12-08 00:00:00,170452,601969,1866670000,
2014-11-27 00:00:00,2014-11-27 00:00:00,170452,601969,1866670000,
2014-11-03 00:00:00,2014-10-30 00:00:00,157839,002629,274632000,
2014-07-17 00:00:00,2014-07-10 00:00:00,157839,002629,274632000,
2014-06-30 00:00:00,2014-08-23 00:00:00,1850,600997,1234640000,
2014-06-30 00:00:00,2014-08-30 00:00:00,267,000629,8589746202,
2014-06-30 00:00:00,2014-08-30 00:00:00,1692,600759,1220117545,
2014-06-30 00:00:00,2014-08-26 00:00:00,82565,601011,387000000,
2014-06-30 00:00:00,2014-08-16 00:00:00,23394,601898,13258663400,
2014-06-30 00:00:00,2014-08-25 00:00:00,1188,600188,4918400000,
2014-06-30 00:00:00,2014-11-14 00:00:00,170452,601969,1680000000,
2014-06-30 00:00:00,2014-08-22 00:00:00,157839,002629,171645000,
2014-06-30 00:00:00,2014-08-20 00:00:00,281,000655,595340230,
2014-06-30 00:00:00,2014-08-29 00:00:00,2148,601857,183020977818,
2014-03-10 00:00:00,2014-03-04 00:00:00,82565,601011,387000000,
2014-02-07 00:00:00,2014-01-25 00:00:00,23394,601898,13258663400,
2014-01-10 00:00:00,2014-01-08 00:00:00,281,000655,595340230,
2013-12-31 00:00:00,2014-03-25 00:00:00,281,000655,595340230,
2013-12-31 00:00:00,2014-03-24 00:00:00,1188,600188,4918400000,
2013-12-31 00:00:00,2014-03-25 00:00:00,82565,601011,387000000,
2013-12-31 00:00:00,2014-06-30 00:00:00,170452,601969,1680000000,
2013-12-31 00:00:00,2014-04-25 00:00:00,1850,600997,1234640000,
2013-12-31 00:00:00,2014-04-18 00:00:00,267,000629,8589746202,
2013-12-31 00:00:00,2014-03-21 00:00:00,2148,601857,183020977818,
2013-12-31 00:00:00,2014-03-19 00:00:00,23394,601898,13258663400,
2013-12-31 00:00:00,2014-04-22 00:00:00,157839,002629,171645000,
2013-12-31 00:00:00,2014-03-29 00:00:00,1692,600759,1220117545,
2013-11-08 00:00:00,2013-11-05 00:00:00,2148,601857,183020977818,
2013-09-06 00:00:00,2013-09-03 00:00:00,1188,600188,4918400000,
2013-06-30 00:00:00,2013-08-20 00:00:00,281,000655,595340230,
2013-06-30 00:00:00,2013-08-29 00:00:00,82565,601011,387000000,
2013-06-30 00:00:00,2013-08-21 00:00:00,267,000629,8589746202,
2013-06-30 00:00:00,2013-08-21 00:00:00,23394,601898,13258663400,
2013-06-30 00:00:00,2013-08-24 00:00:00,1850,600997,1234640000,
2013-06-30 00:00:00,2013-08-30 00:00:00,1692,600759,1220117545,
2013-06-30 00:00:00,2013-08-20 00:00:00,1188,600188,4918400000,
2013-06-30 00:00:00,2013-08-23 00:00:00,2148,601857,183020977818,
2013-06-30 00:00:00,2013-07-23 00:00:00,157839,002629,171645000,
2013-05-10 00:00:00,2013-05-03 00:00:00,157839,002629,171645000,
2012-12-31 00:00:00,2014-06-30 00:00:00,170452,601969,1680000000,
2012-12-31 00:00:00,2013-03-22 00:00:00,2148,601857,183020977818,
2012-12-31 00:00:00,2013-03-23 00:00:00,1188,600188,4918400000,
2012-12-31 00:00:00,2013-04-25 00:00:00,1692,600759,1220117545,
2012-12-31 00:00:00,2013-02-22 00:00:00,1850,600997,1234640000,
2012-12-31 00:00:00,2013-03-16 00:00:00,23394,601898,13258663400,
2012-12-31 00:00:00,2013-04-26 00:00:00,267,000629,8589746202,
2012-12-31 00:00:00,2013-03-30 00:00:00,82565,601011,387000000,
2012-12-31 00:00:00,2013-03-26 00:00:00,281,000655,595340230,
2012-12-31 00:00:00,2013-04-02 00:00:00,157839,002629,114430000,
2012-11-05 00:00:00,2012-10-31 00:00:00,157839,002629,114430000,
2012-07-06 00:00:00,2012-06-29 00:00:00,267,000629,8589746202,
2012-06-30 00:00:00,2012-08-14 00:00:00,157839,002629,114430000,
2012-06-30 00:00:00,2012-08-21 00:00:00,281,000655,595340230,
2012-06-30 00:00:00,2012-08-22 00:00:00,23394,601898,13258663400,
2012-06-30 00:00:00,2012-08-31 00:00:00,267,000629,5726497468,
2012-06-30 00:00:00,2012-08-18 00:00:00,1850,600997,1234640000,
2012-06-30 00:00:00,2012-08-24 00:00:00,2148,601857,183020977818,
2012-06-30 00:00:00,2012-08-28 00:00:00,82565,601011,387000000,
2012-06-30 00:00:00,2012-08-30 00:00:00,1692,600759,1220117545,
2012-06-30 00:00:00,2012-08-27 00:00:00,1188,600188,4918400000,
2012-03-09 00:00:00,2012-03-02 00:00:00,82565,601011,387000000,
2012-02-03 00:00:00,2012-01-31 00:00:00,157839,002629,114430000,
2011-12-31 00:00:00,2012-04-18 00:00:00,157839,002629,114430000,
2011-12-31 00:00:00,2012-04-28 00:00:00,1692,600759,1220117545,
2011-12-31 00:00:00,2012-03-29 00:00:00,82565,601011,387000000,
2011-12-31 00:00:00,2012-03-26 00:00:00,1188,600188,4918400000,
2011-12-31 00:00:00,2012-03-30 00:00:00,2148,601857,183020977818,
2011-12-31 00:00:00,2012-03-29 00:00:00,1850,600997,1234640000,
2011-12-31 00:00:00,2014-06-30 00:00:00,170452,601969,1680000000,
2011-12-31 00:00:00,2012-03-12 00:00:00,281,000655,595340230,
2011-12-31 00:00:00,2012-03-28 00:00:00,23394,601898,13258663400,
2011-12-31 00:00:00,2012-04-27 00:00:00,267,000629,5726497468,
2011-11-03 00:00:00,2011-11-02 00:00:00,157839,002629,114430000,
2011-10-28 00:00:00,2011-10-28 00:00:00,157839,002629,114430000,
2011-06-30 00:00:00,2011-08-25 00:00:00,1692,600759,1220117545,
2011-06-30 00:00:00,2011-08-25 00:00:00,82565,601011,387000000,
2011-06-30 00:00:00,2011-08-31 00:00:00,267,000629,5726497468,
2011-06-30 00:00:00,2011-08-17 00:00:00,23394,601898,13258663400,
2011-06-30 00:00:00,2011-08-02 00:00:00,281,000655,595340230,
2011-06-30 00:00:00,2011-08-22 00:00:00,1188,600188,4918400000,
2011-06-30 00:00:00,2011-08-26 00:00:00,2148,601857,183020977818,
2011-06-30 00:00:00,2011-08-20 00:00:00,1850,600997,1234640000,
2011-06-09 00:00:00,2011-06-03 00:00:00,82565,601011,387000000,
2011-03-09 00:00:00,2011-03-08 00:00:00,82565,601011,387000000,
2011-02-28 00:00:00,2011-02-28 00:00:00,82565,601011,387000000,
2011-02-01 00:00:00,2011-01-26 00:00:00,23394,601898,13258663400,
2011-01-13 00:00:00,2011-01-08 00:00:00,1850,600997,1234640000,
2011-01-13 00:00:00,2011-01-08 00:00:00,1692,600759,1220117545,
