enddate,infopubldate,companycode,netprofit,
2013-06-30 00:00:00,2014-08-16 00:00:00,1450,210935625.25,
2013-06-30 00:00:00,2014-08-22 00:00:00,175066,39669877.56,
2013-06-30 00:00:00,2013-08-21 00:00:00,1450,210935625.25,
2013-03-31 00:00:00,2014-04-28 00:00:00,175066,85109193.03,
2013-03-31 00:00:00,2013-04-27 00:00:00,175066,85109193.03,
2013-03-31 00:00:00,2013-04-20 00:00:00,1655,-5305417.79,
2013-03-31 00:00:00,2014-06-20 00:00:00,150481,-484998149.24,
2013-03-31 00:00:00,2013-04-27 00:00:00,1450,146719811.41,
2013-03-31 00:00:00,2014-04-26 00:00:00,1450,146719811.41,
2013-03-31 00:00:00,2014-04-19 00:00:00,1655,-5305417.79,
2012-12-31 00:00:00,2014-04-29 00:00:00,175066,280064473.68,
2012-12-31 00:00:00,2014-03-19 00:00:00,1450,935267293.8,
2012-12-31 00:00:00,2014-04-28 00:00:00,175066,280064473.68,
2012-12-31 00:00:00,2013-03-16 00:00:00,1450,935267293.8,
2012-12-31 00:00:00,2014-03-25 00:00:00,1655,128939258.25,
2012-12-31 00:00:00,2013-01-25 00:00:00,1655,78814999.56,
2012-12-31 00:00:00,2013-04-27 00:00:00,175066,366280057.22,
2012-09-30 00:00:00,2013-10-26 00:00:00,1450,749939135.33,
2012-09-30 00:00:00,2012-10-24 00:00:00,1450,749939135.33,
2012-09-30 00:00:00,2012-10-20 00:00:00,1655,-46292218.57,
2012-09-30 00:00:00,2013-10-28 00:00:00,175066,451598593.04,
2012-09-30 00:00:00,2013-10-19 00:00:00,1655,-18464092.31,
2012-06-30 00:00:00,2013-07-31 00:00:00,1655,13997495.36,
2012-06-30 00:00:00,2013-08-21 00:00:00,1450,596595583.63,
2012-06-30 00:00:00,2013-08-22 00:00:00,175066,517821531.48,
2012-06-30 00:00:00,2012-08-22 00:00:00,1450,596595583.63,
2012-06-30 00:00:00,2012-08-16 00:00:00,1655,-9445646.79,
2012-03-31 00:00:00,2012-04-17 00:00:00,1655,2734573.13,
2012-03-31 00:00:00,2013-04-27 00:00:00,1450,322640660.91,
2012-03-31 00:00:00,2012-04-28 00:00:00,1450,322640660.91,
2012-03-31 00:00:00,2013-04-20 00:00:00,1655,20353730.53,
2012-03-31 00:00:00,2013-04-27 00:00:00,175066,389962795.05,
2011-12-31 00:00:00,2013-03-16 00:00:00,1450,1432656814.46,
2011-12-31 00:00:00,2013-04-27 00:00:00,175066,1659063550.08,
2011-12-31 00:00:00,2013-01-25 00:00:00,1655,-245805464.92,
2011-12-31 00:00:00,2012-03-28 00:00:00,1450,1432656814.46,
2011-12-31 00:00:00,2012-04-17 00:00:00,1655,-245805464.92,
2011-09-30 00:00:00,2012-10-24 00:00:00,1450,1134354028.43,
2011-09-30 00:00:00,2011-10-22 00:00:00,1450,1134354028.43,
2011-09-30 00:00:00,2011-10-25 00:00:00,1655,-110184672.31,
2011-09-30 00:00:00,2012-10-20 00:00:00,1655,-110184672.31,
2011-06-30 00:00:00,2011-07-26 00:00:00,1655,-60758542.85,
2011-06-30 00:00:00,2012-08-22 00:00:00,1450,783642378.21,
2011-06-30 00:00:00,2011-08-17 00:00:00,1450,783642378.21,
2011-06-30 00:00:00,2012-08-16 00:00:00,1655,-60758542.85,
2011-03-31 00:00:00,2011-04-28 00:00:00,1450,301467193.17,
2011-03-31 00:00:00,2012-04-28 00:00:00,1450,301467193.17,
2011-03-31 00:00:00,2011-04-20 00:00:00,1655,-29262301.59,
2011-03-31 00:00:00,2012-04-17 00:00:00,1655,-29262301.59,
2010-12-31 00:00:00,2012-03-28 00:00:00,1450,1348976763.23,
2010-12-31 00:00:00,2011-03-05 00:00:00,1655,1103068407.46,
2010-12-31 00:00:00,2012-04-17 00:00:00,1655,1103068407.46,
2010-12-31 00:00:00,2011-03-23 00:00:00,1450,1348976763.23,
2010-09-30 00:00:00,2011-10-25 00:00:00,1655,-89433993.79,
2010-09-30 00:00:00,2011-10-22 00:00:00,1450,1050602085.4,
2010-09-30 00:00:00,2010-10-16 00:00:00,1655,-89433993.79,
2010-09-30 00:00:00,2010-10-27 00:00:00,1450,1050602085.4,
2010-06-30 00:00:00,2010-08-14 00:00:00,1450,939395774.56,
2010-06-30 00:00:00,2011-08-17 00:00:00,1450,939395774.56,
2010-06-30 00:00:00,2010-08-19 00:00:00,1655,-65410105.72,
2010-06-30 00:00:00,2011-07-26 00:00:00,1655,-65410105.72,
2010-03-31 00:00:00,2010-04-21 00:00:00,1655,-30004968.34,
2010-03-31 00:00:00,2011-04-28 00:00:00,1450,304542872.95,
2010-03-31 00:00:00,2010-04-23 00:00:00,1450,304542872.95,
2010-03-31 00:00:00,2011-04-20 00:00:00,1655,-30004968.34,
2009-12-31 00:00:00,2011-03-05 00:00:00,1655,-22607093.36,
2009-12-31 00:00:00,2010-04-23 00:00:00,1450,967388019.63,
2009-12-31 00:00:00,2011-03-23 00:00:00,1450,967388019.63,
2009-12-31 00:00:00,2010-03-30 00:00:00,1655,-22607093.36,
2009-09-30 00:00:00,2009-10-30 00:00:00,1655,-40220302.24,
2009-09-30 00:00:00,2010-10-27 00:00:00,1450,639462168.69,
2009-09-30 00:00:00,2009-10-29 00:00:00,1450,646140264.0,
2009-09-30 00:00:00,2010-10-16 00:00:00,1655,-40220302.24,
