数据年月,商品名称,贸易伙伴名称,第一数量,人民币
202206,丙烯,阿曼,-,"52,733,813"
202206,丙烯,巴基斯坦,-,"221,407"
202206,丙烯,菲律宾,-,"628,697"
202206,丙烯,沙特阿拉伯,-,"195,295,204"
202206,丙烯,新加坡,-,"625,322,135"
202206,丙烯,韩国,-,"882,017,618"
202206,丙烯,泰国,-,"127,756,270"
202206,丙烯,土耳其,-,"1,276,003"
202206,丙烯,阿联酋,-,"304,017,315"
202206,丙烯,越南,-,"23,709,150"
202206,丙烯,中国,-,"6,048,322"
202206,丙烯,中国台湾,-,"406,709,097"
202206,丙烯,南非,-,"711,980"
202206,丙烯,比利时,-,"83,007,950"
202206,丙烯,丹麦,-,"621,851"
202206,丙烯,英国,-,"5,912,067"
202206,丙烯,德国,-,"62,698,755"
202206,丙烯,法国,-,"68,450,904"
202206,丙烯,爱尔兰,-,438
202206,丙烯,意大利,-,"15,910,470"
202206,丙烯,卢森堡,-,"4,342"
202206,丙烯,荷兰,-,"26,266,480"
202206,丙烯,葡萄牙,-,"1,360,211"
202206,丙烯,西班牙,-,"8,978,947"
202206,丙烯,奥地利,-,"8,938,615"
202206,丙烯,芬兰,-,"572,724"
202206,丙烯,匈牙利,-,"850,425"
202206,丙烯,挪威,-,"78,677"
202206,丙烯,波兰,-,"137,399"
202206,丙烯,罗马尼亚,-,846
202206,丙烯,瑞典,-,"425,324"
202206,丙烯,瑞士,-,"4,275,684"
202206,丙烯,俄罗斯联邦,-,"35,882,267"
202206,丙烯,斯洛文尼亚,-,"4,266"
202206,丙烯,捷克,-,"1,886,627"
202206,丙烯,斯洛伐克,-,"753,155"
202206,丙烯,阿根廷,-,"2,798,587"
202206,丙烯,巴西,-,"13,875,246"
202206,丙烯,智利,-,"21,189"
202206,丙烯,哥伦比亚,-,"67,483"
202206,丙烯,墨西哥,-,"620,686"
202206,丙烯,加拿大,-,"4,661,253"
202206,丙烯,美国,-,"160,502,008"
202206,丙烯,澳大利亚,-,"1,258,365"
202206,丙烯,新西兰,-,"232,494"
202206,无烟煤,老挝,32102170,"31,422,088"
202206,无烟煤,蒙古,35035826,"18,019,478"
202206,无烟煤,吉尔吉斯斯坦,47000,"25,350"
202206,无烟煤,俄罗斯联邦,1240407741,"1,918,521,386"
202206,无烟煤,秘鲁,37357000,"51,889,459"
202206,炼焦煤,印度尼西亚,242729000,"599,260,661"
202206,炼焦煤,蒙古,2279683318,"3,004,768,223"
202206,炼焦煤,俄罗斯联邦,1696561250,"2,731,054,907"
202206,炼焦煤,加拿大,685108962,"2,015,932,796"
202206,炼焦煤,美国,78858280,"206,977,094"
202206,其他煤,印度,0,70
202206,其他煤,印度尼西亚,850759013,"911,674,021"
202206,其他煤,南非,10,"1,371"
202206,其他煤,俄罗斯联邦,316236400,"192,953,117"
202206,褐煤，不论是否粉化，但未制成型,缅甸,11496620,"3,334,019"
202206,褐煤，不论是否粉化，但未制成型,印度尼西亚,7818473800,"5,184,999,195"
202206,褐煤，不论是否粉化，但未制成型,老挝,2810090,"1,258,124"
202206,褐煤，不论是否粉化，但未制成型,菲律宾,63015322,"66,651,904"
202206,褐煤，不论是否粉化，但未制成型,俄罗斯联邦,858520770,"590,794,228"
202206,焦炭,印度尼西亚,11,"1,149"
202206,焦炭,中国台湾,1137740,"2,794,579"
202206,焦炭,英国,40000,"141,045"
202206,焦炭,美国,8168,"141,227"
202206,焦油,马来西亚,5867570,"21,240,083"
202206,焦油,韩国,16000,"203,314"
202206,液化石油气,俄罗斯联邦,-,"257,695"
202206,氧化铝,中国香港,-,170
202206,氧化铝,印度,-,"1,110,210"
202206,氧化铝,印度尼西亚,-,"94,208,348"
202206,氧化铝,日本,-,"37,736,538"
202206,氧化铝,新加坡,-,"3,566,262"
202206,氧化铝,韩国,-,"7,078,983"
202206,氧化铝,中国,-,"99,108"
202206,氧化铝,中国台湾,-,"772,331"
202206,氧化铝,丹麦,-,"2,698"
202206,氧化铝,英国,-,"81,925"
202206,氧化铝,德国,-,"55,525,512"
202206,氧化铝,法国,-,"14,196,986"
202206,氧化铝,意大利,-,"67,908"
202206,氧化铝,荷兰,-,"3,243,384"
202206,氧化铝,匈牙利,-,"456,111"
202206,氧化铝,瑞士,-,"8,068"
202206,氧化铝,斯洛伐克,-,"9,405"
202206,氧化铝,加拿大,-,"239,819"
202206,氧化铝,美国,-,"12,883,608"
202206,氧化铝,澳大利亚,-,"295,121,642"
